frame_index,frame_path,t,hand_found,cam_tx,cam_ty,cam_tz,roll,pitch,yaw,grip_raw_px,kp00_x,kp00_y,kp00_conf,kp01_x,kp01_y,kp01_conf,kp02_x,kp02_y,kp02_conf,kp03_x,kp03_y,kp03_conf,kp04_x,kp04_y,kp04_conf,kp05_x,kp05_y,kp05_conf,kp06_x,kp06_y,kp06_conf,kp07_x,kp07_y,kp07_conf,kp08_x,kp08_y,kp08_conf,kp09_x,kp09_y,kp09_conf,kp10_x,kp10_y,kp10_conf,kp11_x,kp11_y,kp11_conf,kp12_x,kp12_y,kp12_conf,kp13_x,kp13_y,kp13_conf,kp14_x,kp14_y,kp14_conf,kp15_x,kp15_y,kp15_conf,kp16_x,kp16_y,kp16_conf,kp17_x,kp17_y,kp17_conf,kp18_x,kp18_y,kp18_conf,kp19_x,kp19_y,kp19_conf,kp20_x,kp20_y,kp20_conf,grip_norm_0closed_1open,grasp_pitch_table_deg,grasp_roll_table_deg,grasp_tilt_table_deg,grasp_pitch_camera_deg,grasp_roll_camera_deg,grasp_tilt_camera_deg,kp02_valid,kp02_reason,kp03_valid,kp03_reason,kp04_valid,kp04_reason,kp05_valid,kp05_reason,kp06_valid,kp06_reason,kp07_valid,kp07_reason,kp08_valid,kp08_reason
60,/data2/hrd/Dyn-HaMR/test/images/rgb/000061.jpg,2.0,1,0.13225002586841583,0.2150946855545044,0.7662765383720398,-3.1219000653261544,-0.05046668061278764,1.2056538500857652,155.8042822581464,690.2849720917948,597.18967370459,1.0,661.5599645987471,589.3181801751052,1.0,634.6945667851603,573.6540650544582,1.0,596.4806247048467,553.4334855735433,1.0,538.4354549800422,517.2881260544334,1.0,637.7607703758367,475.950425666529,1.0,606.7441313063416,427.0760385682467,1.0,583.3909834681863,397.9571450996185,1.0,559.6062812159701,362.92890058843057,1.0,634.0817563294053,456.0169109770262,1.0,605.9915853066802,414.03073430269524,1.0,582.2466475973386,388.0147093332104,1.0,558.443489119219,356.8029295339087,1.0,632.6693559541297,469.40164702609525,1.0,611.8140860356538,431.71619038619247,1.0,588.0534141867014,404.809651515126,1.0,571.4032927611737,372.04954055112955,1.0,628.0116445870542,484.7076185799888,1.0,614.289818621314,457.8524858010048,1.0,599.1027943134575,436.81959017966864,1.0,586.1445736577332,411.8049011706389,1.0,0.8634725126523574,71.91970057152456,67.0693037504452,75.50856986034283,81.41097328750202,-79.85496345655532,83.4161011278278,0,thumb_chain_height_break,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK
61,/data2/hrd/Dyn-HaMR/test/images/rgb/000062.jpg,2.033333333333333,1,0.13296079635620117,0.21363788843154907,0.7741665840148926,-3.1168999426787476,-0.070280651491073,1.197240865631048,160.2332226629169,687.970637332317,591.3683241278668,1.0,659.2357984374848,584.4129749638887,1.0,632.3960779761765,570.5724288152705,1.0,594.6073604515041,552.8975987692393,1.0,536.9644908634154,520.0169521288008,1.0,635.1140133980298,472.5238690260121,1.0,603.2819031424433,424.54478124473326,1.0,580.1541753135155,395.54116207746665,1.0,555.9973700724865,360.91813015341086,1.0,631.5002242616611,452.1581137336734,1.0,602.7394568963509,410.83964383793796,1.0,579.006859424703,385.0321719874214,1.0,554.7730412899427,354.2578593149101,1.0,630.2838180673189,465.0120475068943,1.0,608.3345006408017,428.11938741785843,1.0,584.0743006208559,401.6293787401714,1.0,566.285692779387,369.3121326349856,1.0,625.7697402256563,479.98440330217636,1.0,611.2286277898011,453.66889875088236,1.0,595.7193640783744,432.84545962157335,1.0,581.8614637747833,408.4008599865682,1.0,0.8910849547560594,71.38723471390503,68.84270757989803,75.74507342784797,78.73304892352834,-77.93508280481821,81.70847414446722,0,thumb_chain_height_break,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK
62,/data2/hrd/Dyn-HaMR/test/images/rgb/000063.jpg,2.066666666666667,1,0.13260263204574585,0.21167106926441193,0.7819507122039795,-3.091817134257918,-0.07731481031727758,1.1955875284444084,152.3104258028051,683.9872873186954,585.2164067211464,1.0,653.8749290352547,576.6129241343054,1.0,622.1900902632746,559.7603416449808,1.0,582.2273261644441,539.487292557038,1.0,525.400351092263,504.97084942707204,1.0,630.3955450725601,467.0341572792701,1.0,599.7606947456031,419.280093316871,1.0,576.9356557731144,390.273894576404,1.0,553.4110462345956,355.25823551002395,1.0,627.9446426150292,447.083736169306,1.0,599.0249977111816,406.23769180466695,1.0,574.7476191053869,380.98423573677735,1.0,550.6498826475257,350.0540174833586,1.0,627.639844173369,459.9923043467752,1.0,605.6967981137277,422.99663699412974,1.0,581.5360760486959,396.44543420148824,1.0,563.9970125927587,363.9135547035852,1.0,623.6435218297654,475.13426269723766,1.0,608.816604334821,448.8115975412463,1.0,592.763973708318,428.32089917345854,1.0,578.1987232942381,404.0510296229454,1.0,0.8416898964338497,-55.675305841556536,-33.265326045431046,58.071644272955176,-52.112352653558666,-0.43448532705664217,52.11283328136722,1,OK,1,OK,0,thumb_chain_height_break,1,OK,1,OK,1,OK,1,OK
63,/data2/hrd/Dyn-HaMR/test/images/rgb/000064.jpg,2.1,1,0.13783711194992065,0.20752626657485962,0.7864634990692139,-3.118967718904477,0.06259457879623113,1.1279990049171136,134.57086118768663,690.3868637228297,577.0328260311217,1.0,656.7373851651064,562.198211359384,1.0,615.7668750046893,538.0239881114103,1.0,574.0480619161219,515.9517901453801,1.0,529.3914445852399,486.806821592579,1.0,624.7853338977462,455.7230074860248,1.0,593.3055420041783,412.15530717962736,1.0,571.1083313711108,385.3921374856218,1.0,547.6834962382893,353.4849646931276,1.0,622.8771822262763,442.2621268263198,1.0,595.9516339708837,403.1908766992443,1.0,573.31677393213,378.9152445592057,1.0,551.6252114635552,348.8934864994226,1.0,625.4229182004589,459.8577593104079,1.0,603.6634204535076,423.9871924522595,1.0,579.817723752448,399.74187002845485,1.0,564.2750472725826,368.3802754116453,1.0,623.9332601677476,478.3942812126819,1.0,601.3408203789415,459.3941026293396,1.0,576.942614095961,449.45544893820136,1.0,552.4472902800544,435.7470777836521,1.0,0.7310917270946928,67.984473143814,48.53513838703972,69.81273302564749,84.57769585464389,-81.43533602378389,85.40888407739746,0,thumb_chain_height_break,0,thumb_chain_height_break,1,OK,1,OK,1,OK,1,OK,1,OK
64,/data2/hrd/Dyn-HaMR/test/images/rgb/000065.jpg,2.1333333333333333,1,0.1289062798023224,0.20299728214740753,0.7599676847457886,3.1197577636626947,0.08691581055111575,1.1249875730550183,135.3301611962908,688.4307937849226,581.163774706889,1.0,654.695677893862,564.7118083790992,1.0,609.3319411250341,539.9215368285659,1.0,566.8334125744186,517.0235295028542,1.0,525.916296737545,485.37096010350797,1.0,620.8658131863413,454.6768296298542,1.0,588.0742686864942,410.3493715278619,1.0,565.0993032667793,383.0719712632963,1.0,540.856254211456,350.86798541487224,1.0,618.0345808984202,442.41224159603007,1.0,590.9108207074605,402.21815850200255,1.0,567.4978610908038,377.46752909040515,1.0,544.147472835195,347.66834189110523,1.0,620.0289157686711,461.77065420088184,1.0,595.5333766182666,426.5548082069545,1.0,568.1701324931782,404.1386668846271,1.0,548.2561585250041,373.89506929332856,1.0,618.1681221890394,481.5792846618133,1.0,592.6271904644236,466.00378859550983,1.0,565.8861472202789,461.35666170129116,1.0,538.434733050799,453.79342985638505,1.0,0.7358256195409176,-34.52317556951455,-22.396890372673663,38.725314948038786,-34.56140829502619,-12.023321805432195,35.79287025887381,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK
65,/data2/hrd/Dyn-HaMR/test/images/rgb/000066.jpg,2.1666666666666665,1,0.13261781632900238,0.19909393787384033,0.7799091935157776,3.1208083275567824,0.11156088968961898,1.083488952152965,136.84015164063678,685.5005968295111,566.5130259030035,1.0,650.3756854011601,549.9272450359773,1.0,603.3467676569919,527.5073347337069,1.0,562.1926834090903,507.74680297872203,1.0,523.2652160602279,480.808632776813,1.0,613.3933418159801,444.6638281733576,1.0,581.5186442039472,402.3037999079984,1.0,559.4744482082067,376.1176023131012,1.0,536.9021011974078,344.64967249586846,1.0,611.2454027022379,434.08921430800365,1.0,584.7690544473695,395.9196614860531,1.0,561.711323512759,373.15626292620846,1.0,538.3699267407676,345.35131884191014,1.0,614.8912730868326,453.8863513451046,1.0,591.451482704598,419.2003802886866,1.0,567.1303762866985,395.981930242139,1.0,550.840333066679,365.5812284398744,1.0,614.409485415919,474.0046772527834,1.0,589.0981594107789,458.8558173980673,1.0,563.5215465976341,452.0317608337151,1.0,536.4311912230162,441.60838274340006,1.0,0.745239727637007,-37.08133628944957,-22.79139664218301,40.851026551912135,-36.94395779673576,-11.580626965163761,37.93430610334969,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK
66,/data2/hrd/Dyn-HaMR/test/images/rgb/000067.jpg,2.2,1,0.1278972327709198,0.19178816676139832,0.755675196647644,3.0061888085209407,0.2111682339825892,1.044303473422312,152.45145740191361,688.1604977226841,564.8267650852504,1.0,653.4826248311705,542.4540364582402,1.0,605.2630663094182,527.6225831632449,1.0,558.5108605296214,515.9418202406887,1.0,507.0175418763114,487.2108877193459,1.0,610.8511942711655,439.1553092544733,1.0,579.4091711727536,396.1922619304223,1.0,557.247219033163,369.78110525007287,1.0,535.2550813120615,337.3973762105974,1.0,606.5976439975518,434.03610516428796,1.0,582.3344471057293,396.1061454352563,1.0,560.078937265158,373.5010182442538,1.0,537.746223599217,346.22427308420936,1.0,609.7047513510104,457.96566317110046,1.0,569.1406327255767,446.80806480182343,1.0,537.2078355536642,463.52767853025705,1.0,502.3658308908283,475.3091754130364,1.0,609.3357463898199,481.0765036017231,1.0,583.0541228360623,466.6692660361441,1.0,556.2997149979935,467.38060079435184,1.0,531.9975795424605,465.5017469899285,1.0,0.8425691647258733,-39.28835317517559,-23.53538489129953,42.826251384553636,-38.85630950116442,-10.82397479682359,39.62530870198051,1,OK,1,OK,0,thumb_chain_height_break,1,OK,1,OK,1,OK,1,OK
67,/data2/hrd/Dyn-HaMR/test/images/rgb/000068.jpg,2.2333333333333334,1,0.12170802056789398,0.19069363176822662,0.7461782693862915,3.035053188624569,0.163047867513877,1.0750007342310812,142.12779535577403,683.0536096557189,567.315482824643,1.0,648.4512237002964,545.6328997982528,1.0,599.5110205881277,524.9155959975142,1.0,556.1025409732196,507.40803106759756,1.0,525.8172795621275,478.2303278940065,1.0,608.3363125994032,438.4047604295065,1.0,576.0574935120974,394.33441101359097,1.0,553.1317916872915,367.5664212051953,1.0,528.2240951890116,336.12291270665264,1.0,604.1689942596671,430.96141920198295,1.0,568.0081585828269,401.6718204316235,1.0,536.3267475310194,390.3692021739206,1.0,499.1671734425654,380.31344686717546,1.0,606.6099775570741,454.2193219029208,1.0,564.0458802929313,448.5012025584505,1.0,536.2023209933419,473.5719750677793,1.0,508.84491699411655,495.6756142359676,1.0,605.3995651038222,477.1754320552148,1.0,579.5957188798739,460.7943600076427,1.0,552.6899573825045,464.8277006357621,1.0,537.8840737636265,464.12629362901316,1.0,0.7782057968557228,-39.22448819470685,-21.9453561822356,42.31209319399849,-39.31443255757479,-12.437689499181403,40.300999526103176,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK
68,/data2/hrd/Dyn-HaMR/test/images/rgb/000069.jpg,2.2666666666666666,1,0.10663734376430511,0.19010482728481293,0.7148833870887756,2.9622409469150512,0.13755577544275624,1.1077518022706512,136.691472870252,673.2583831252414,580.3611759105697,1.0,641.8068913706811,557.1058263481827,1.0,596.6092238611891,526.9606779658934,1.0,552.1846645690239,502.2123231276637,1.0,523.0342521908024,468.8927239133627,1.0,602.4995121220418,442.7154675157217,1.0,570.0851984940819,394.32938311764156,1.0,545.8114232986425,365.2081979747745,1.0,518.1475845689711,332.2886272142059,1.0,595.4543711261358,434.8102252341632,1.0,544.6244661136866,446.42786281829467,1.0,528.5451010581455,481.5356681845733,1.0,551.4268290077707,512.8378922728589,1.0,594.8425998575403,459.28350674838293,1.0,549.9002722744281,461.1459794600378,1.0,536.2090277624811,497.90612879331456,1.0,550.0054052084961,529.3529813041678,1.0,591.292848707264,483.3146731698653,1.0,563.3804813353636,469.6480797746917,1.0,545.2690716975765,488.381983759813,1.0,559.2325238717895,495.61726125952555,1.0,0.7443127826876287,-43.04779220750439,-22.588462784351965,45.63829725622808,-42.879319107599976,-11.729313851661571,43.5767384920667,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK,0,index_chain_height_break
69,/data2/hrd/Dyn-HaMR/test/images/rgb/000070.jpg,2.3,1,0.09888629615306854,0.19031694531440735,0.7158874869346619,2.906644562941164,0.07536383263592512,1.1454234739241855,134.28120853547054,659.53627344704,580.2528413058026,1.0,632.939769562101,558.0712253692327,1.0,593.4795562285872,525.1187643037993,1.0,548.1042123298648,499.12092582398327,1.0,512.524507080554,461.64367989232414,1.0,597.2105133385339,441.2549141839845,1.0,563.7811078166051,392.0496825113987,1.0,539.2039175125065,361.62610399816185,1.0,510.72107357761706,327.37458220656845,1.0,587.4675603086071,431.7810952796135,1.0,536.7548027690027,448.0931159152824,1.0,527.3568965101294,486.53980914026033,1.0,562.8173290991908,506.96383793331916,1.0,583.4863884888473,455.5987115142052,1.0,538.6406317772635,461.55561158261844,1.0,532.0296249251551,501.1467772348551,1.0,562.1551350505542,523.9040169994696,1.0,577.4839779229223,479.12423903198214,1.0,549.6143042785588,470.65864376624813,1.0,540.823403492288,495.4734944309457,1.0,565.9938253060973,500.82599286269397,1.0,0.7292858736944335,-47.624766994862135,-22.88670647951459,49.58979957604548,-47.34534949721772,-11.346176206393404,47.82474346068592,1,OK,1,OK,1,OK,1,OK,1,OK,1,OK,0,index_chain_height_break
