d435_u,d435_v,d435_depth_m,d435_cam_x,d435_cam_y,d435_cam_z,robot_x,robot_y,robot_z
244.0,252.0,0.23100000619888306,-0.031291600316762924,0.002011670731008053,0.23100000619888306,-0.0202,-0.31,0.273
288.0,244.0,0.36500000953674316,-0.023091187700629234,-0.0016227468149736524,0.36500000953674316,-0.025126467547042116,-0.3103663658710261,0.13267278058987825
265.0,237.0,0.27900001406669617,-0.028179937973618507,-0.004451721906661987,0.27900001406669617,-0.021374220308276615,-0.3102553979409598,0.23958040702806813
455.0,302.0,0.26900002360343933,0.05669456347823143,0.024458453059196472,0.26900002360343933,-0.11321717131419548,-0.29536655524960803,0.2428600679970707
500.0,352.0,0.17400000989437103,0.04952027276158333,0.030126133933663368,0.17400000989437103,-0.11046638633310273,-0.29601827235560246,0.32304032177003145
429.0,315.0,0.3540000021457672,0.05950670316815376,0.03975403308868408,0.3540000021457672,-0.11178935825859536,-0.28185208058446815,0.14930603354647728
519.0,381.0,0.3530000150203705,0.11146880686283112,0.07795067876577377,0.3530000150203705,-0.16611579572989077,-0.25609440307774084,0.15141742725979948
339.0,395.0,0.34800001978874207,0.007106313947588205,0.08485759794712067,0.34800001978874207,-0.06089237165974373,-0.22919157776180765,0.1477984493987081
178.0,249.0,0.36500000953674316,-0.088971808552742,0.0013781036250293255,0.36500000953674316,0.04194167840041853,-0.30101581250592196,0.14492406546662637
251.0,322.0,0.45500001311302185,-0.05640881881117821,0.05633338913321495,0.45500001311302185,0.009071811700579222,-0.24682498214525145,0.05850265654138943
334.0,249.0,0.4440000355243683,0.005423962138593197,0.001676378189586103,0.4440000355243683,-0.0515640219074362,-0.31468921695466945,0.06028323801535335
169.0,290.0,0.45100003480911255,-0.11659529060125351,0.03210758790373802,0.45100003480911255,0.06319497679828798,-0.2633677239845717,0.07588992822758836
60.0,312.0,0.2880000174045563,-0.12596547603607178,0.030921589583158493,0.2880000174045563,0.06824311167929403,-0.26147494311472536,0.22956563466587349
420.0,430.0,0.25600001215934753,0.03925254940986633,0.0771569162607193,0.25600001215934753,-0.10098942054293894,-0.24494997826514076,0.2359331434906625
524.0,348.0,0.2510000169277191,0.08131897449493408,0.041806936264038086,0.2510000169277191,-0.14219395378851865,-0.28569329848998914,0.25024905386656227
542.0,363.0,0.22800001502037048,0.0806015282869339,0.043599531054496765,0.22800001502037048,-0.14153015631607063,-0.28593601964532983,0.27030667624438387
372.0,264.0,0.45600003004074097,0.03400341793894768,0.012968708761036396,0.45600003004074097,-0.07920026792972058,-0.3082812208000354,0.04726982650018924
320.0,206.0,0.46000000834465027,-0.004947732202708721,-0.030787497758865356,0.46000000834465027,-0.034024852561613736,-0.34804686468324825,0.04714640783654531
231.0,330.0,0.48500001430511475,-0.07604444772005081,0.0664275661110878,0.48500001430511475,0.025016579136209954,-0.2295379730142172,0.04251985249075914
212.0,340.0,0.36500000953674316,-0.06860870122909546,0.05599357932806015,0.36500000953674316,0.015685354040367003,-0.24829181266781092,0.13587514412607868
294.0,261.0,0.367000013589859,-0.019604535773396492,0.008627159520983696,0.367000013589859,-0.030169940664080727,-0.3052136329873584,0.13737366931822198
262.0,372.0,0.281000018119812,-0.029765190556645393,0.05789295211434364,0.281000018119812,-0.026114671989936174,-0.25169521803258543,0.21073126317940385
424.0,352.0,0.33100003004074097,0.05292482674121857,0.05730891227722168,0.33100003004074097,-0.11163161921734502,-0.26944943353137624,0.1666207165900673
390.0,333.0,0.2720000147819519,0.028316400945186615,0.03859597444534302,0.2720000147819519,-0.08389404334642742,-0.2789684726204777,0.23917068434175795
383.0,311.0,0.40300002694129944,0.03732520714402199,0.04260610044002533,0.40300002694129944,-0.08879196836554558,-0.27812481187934074,0.09806646274065065
280.0,239.0,0.445000022649765,-0.033993739634752274,-0.005636988673359156,0.445000022649765,-0.00922698145709394,-0.31485928760530685,0.07520104840598382
144.0,260.0,0.4580000340938568,-0.13719284534454346,0.01001322828233242,0.4580000340938568,0.08922490650042048,-0.2798788119991259,0.07145903992133205
453.0,276.0,0.35500001907348633,0.07365494966506958,0.017100978642702103,0.35500001907348633,-0.12388156127041737,-0.3060082775910523,0.15247164705946173
450.0,342.0,0.281000018119812,0.05691827833652496,0.04403148964047432,0.281000018119812,-0.11012222353389647,-0.2753322777161976,0.21917845699300492
405.0,333.0,0.33100003004074097,0.0426054410636425,0.046967897564172745,0.33100003004074097,-0.09741758970099451,-0.2737176332197454,0.1585665888174278
